STATEFP,COUNTYFP,TRACTCE,POPULATION,LATITUDE,LONGITUDE
25,013,810800,3823,+42.148590,-072.590089
25,013,810901,1948,+42.145682,-072.609706
25,013,810902,4578,+42.139030,-072.602256
25,013,811000,4622,+42.164041,-072.599671
25,013,811101,5058,+42.185318,-072.610572
25,013,811102,6100,+42.167864,-072.619485
25,013,811200,4859,+42.179540,-072.589975
25,013,811301,5494,+42.201688,-072.581151
25,013,811302,5741,+42.199576,-072.564240
25,013,811400,2447,+42.205274,-072.598483
25,013,811500,2277,+42.197178,-072.606555
25,013,811600,3749,+42.202395,-072.615022
25,013,811700,2029,+42.209009,-072.608210
25,013,811800,4139,+42.211994,-072.619641
25,013,811900,3555,+42.223994,-072.626429
25,013,812001,3451,+42.207518,-072.622541
25,013,812002,4646,+42.206474,-072.636496
25,013,812101,5106,+42.193546,-072.656828
25,013,812103,3836,+42.177755,-072.633721
25,013,812104,4645,+42.193671,-072.628622
25,013,812201,4600,+42.111313,-072.626881
25,013,812202,4043,+42.144874,-072.633645
25,013,812300,5861,+42.099373,-072.616089
25,013,812401,6210,+42.120404,-072.665722
25,013,812403,3796,+42.106286,-072.644461
25,013,812404,3881,+42.117733,-072.651721
25,013,812500,7665,+42.140569,-072.714584
25,013,812600,6799,+42.099749,-072.733136
25,013,812701,4078,+42.121332,-072.755615
25,013,812702,5489,+42.121691,-072.743884
25,013,812800,6666,+42.152293,-072.752900
25,013,812901,3002,+42.119675,-072.769093
25,013,812902,4802,+42.117458,-072.792929
25,013,812903,2593,+42.132005,-072.796172
25,013,813000,7234,+42.173506,-072.902865
25,013,813101,5888,+42.050135,-072.752395
25,013,813102,3614,+42.055716,-072.797643
25,013,813204,3240,+42.083876,-072.684575
25,013,813205,7481,+42.052479,-072.659012
25,013,813206,4042,+42.073178,-072.660272
25,013,813207,5111,+42.086786,-072.638843
25,013,813208,2918,+42.056361,-072.609240
25,013,813209,5646,+42.075544,-072.612651
25,013,813301,7343,+42.050801,-072.580010
25,013,813303,4387,+42.057203,-072.553690
25,013,813304,4054,+42.045044,-072.558953
25,013,813401,5243,+42.072653,-072.523584
25,013,813403,3847,+42.072790,-072.499022
25,013,813404,6630,+42.056116,-072.490584
25,013,813500,5139,+42.066121,-072.428590
25,013,813601,8146,+42.141527,-072.447598
25,013,813602,6073,+42.105932,-072.439854
25,013,813701,3462,+42.093221,-072.300471
25,013,813702,5098,+42.103357,-072.339078
25,013,813801,4319,+42.059983,-072.188737
25,013,813802,3609,+42.133252,-072.202196
25,015,820101,6189,+42.263013,-072.271127
25,015,820102,3683,+42.260524,-072.239718
25,015,820202,1321,+42.376953,-072.446352
25,015,820203,8507,+42.275899,-072.424046
25,015,820204,6142,+42.268607,-072.388668
25,015,820300,6818,+42.407154,-072.521787
25,015,820400,12079,+42.388165,-072.525273
25,015,820500,6342,+42.375677,-072.518571
25,015,820600,1681,+42.371173,-072.516254
25,015,820700,4509,+42.362578,-072.486186
25,015,820801,5232,+42.338027,-072.518840
25,015,820802,1158,+42.324810,-072.531992
25,015,820900,6240,+42.256765,-072.515750
25,015,821000,4251,+42.235041,-072.565602
25,015,821100,6939,+42.224054,-072.590947
25,015,821200,2127,+42.254552,-072.573685
25,015,821300,4197,+42.255588,-072.588603
